Time (UTC),Open,High,Low,Close,Volume 
2017.05.10 16:26:20,1.36571,1.36571,1.36565,1.36566,24.15
2017.05.10 16:26:30,1.36567,1.3657,1.36567,1.36569,5
2017.05.10 16:26:40,1.36568,1.36568,1.36566,1.36566,5.5
2017.05.10 16:26:50,1.36565,1.3658,1.36565,1.36577,21.45
2017.05.10 16:27:00,1.36577,1.36578,1.36577,1.36577,6.12
2017.05.10 16:27:10,1.36577,1.36577,1.36577,1.36577,1.12
2017.05.10 16:27:20,1.36577,1.36586,1.36577,1.36583,11.89
2017.05.10 16:27:30,1.36582,1.36585,1.3658,1.36585,10.12
2017.05.10 16:27:40,1.36583,1.36585,1.36582,1.36584,9
2017.05.10 16:27:50,1.36586,1.36587,1.36586,1.36586,6.12
2017.05.10 16:28:00,1.36586,1.36586,1.3658,1.3658,10
2017.05.10 16:28:10,1.36582,1.36585,1.36579,1.36581,14.74
2017.05.10 16:28:20,1.36582,1.36582,1.36578,1.36578,5.5
2017.05.10 16:28:30,1.36578,1.36578,1.36577,1.36577,5
2017.05.10 16:28:40,1.36579,1.36579,1.36574,1.36577,11.23
2017.05.10 16:28:50,1.36575,1.36576,1.36564,1.36568,20.74
2017.05.10 16:29:00,1.36568,1.3657,1.36563,1.36568,21.73
2017.05.10 16:29:10,1.36571,1.36571,1.36565,1.36565,11.49
2017.05.10 16:29:20,1.36565,1.36569,1.36565,1.36567,15.62
2017.05.10 16:29:30,1.36566,1.36566,1.36565,1.36565,5.12
2017.05.10 16:29:40,1.36566,1.36567,1.36564,1.36567,16.36
2017.05.10 16:29:50,1.36565,1.36568,1.36565,1.36565,11.12
2017.05.10 16:30:00,1.36566,1.36566,1.36557,1.36557,13.74
2017.05.10 16:30:10,1.36556,1.36558,1.36556,1.36556,8
2017.05.10 16:30:20,1.36558,1.36558,1.36558,1.36558,3.12
2017.05.10 16:30:30,1.36558,1.36558,1.36558,1.36558,0
2017.05.10 16:30:40,1.36556,1.36567,1.36556,1.36565,20.12
2017.05.10 16:30:50,1.36566,1.36569,1.36566,1.36569,9.12
2017.05.10 16:31:00,1.36569,1.3657,1.36569,1.3657,13.1
2017.05.10 16:31:10,1.3657,1.3657,1.36567,1.36567,10.48
2017.05.10 16:31:20,1.36568,1.36568,1.36559,1.36559,14.61
2017.05.10 16:31:30,1.36559,1.36559,1.36559,1.36559,0
2017.05.10 16:31:40,1.3656,1.36564,1.3656,1.36564,4.12
2017.05.10 16:31:50,1.36563,1.36563,1.36559,1.36559,7
2017.05.10 16:32:00,1.36558,1.36561,1.36557,1.36559,10.74
2017.05.10 16:32:10,1.3656,1.3656,1.36558,1.36558,6.12
2017.05.10 16:32:20,1.36561,1.36567,1.3656,1.36567,20.98
2017.05.10 16:32:30,1.36568,1.36568,1.3655,1.3655,14.5
2017.05.10 16:32:40,1.36552,1.36553,1.36549,1.36551,16.25
2017.05.10 16:32:50,1.36551,1.36553,1.36551,1.36552,7.87
2017.05.10 16:33:00,1.36553,1.36553,1.36553,1.36553,2.12
2017.05.10 16:33:10,1.36554,1.36554,1.3655,1.3655,9.5
2017.05.10 16:33:20,1.36552,1.36552,1.36548,1.36548,7.87
